continent,part,countrycode,value
AFRICA,EAST,ZW,Эпворт*
AFRICA,EAST,ZW,Чегут*
AFRICA,EAST,ZW,Хванг*
AFRICA,EAST,ZW,Харар*
AFRICA,EAST,ZW,Нортон*
AFRICA,EAST,ZW,Мутар*
AFRICA,EAST,ZW,Квекв*
AFRICA,EAST,ZW,Чинхой*
AFRICA,EAST,ZW,Зимбабв*
AFRICA,EAST,ZW,Биндур*
AFRICA,EAST,ZW,Редклифф*
AFRICA,EAST,ZW,Масвинг*
AFRICA,EAST,ZW,Булавай*
AFRICA,EAST,ZW,Марондер*
AFRICA,EAST,ZW,Звишаван*
AFRICA,EAST,ZW,Байтбридж*
AFRICA,EAST,ZW,Читунгвиз*
AFRICA,EAST,ZW,Виктория-Фолс*
AFRICA,EAST,ZW,Рув?
AFRICA,EAST,ZW,Гверу
AFRICA,EAST,ZM,Чипат*
AFRICA,EAST,ZM,Лусак*
AFRICA,EAST,ZM,Чингол*
AFRICA,EAST,ZM,Луанш*
AFRICA,EAST,ZM,Муфулир*
AFRICA,EAST,ZM,Мазабук*
AFRICA,EAST,ZM,Кансанш*
AFRICA,EAST,ZM,Калулуш*
AFRICA,EAST,ZM,Ливингстон*
AFRICA,EAST,ZM,Китве-Нка*
AFRICA,EAST,ZM,Чилилабомбв*
AFRICA,EAST,ZM,Капири-Мпош*
AFRICA,EAST,ZM,Чом?
AFRICA,EAST,ZM,Ндол?
AFRICA,EAST,ZM,Монзе
AFRICA,EAST,ZM,Монгу
AFRICA,EAST,ZM,Манс?
AFRICA,EAST,ZM,Кафуэ
AFRICA,EAST,ZM,Кабве
AFRICA,EAST,ZM,Замби*
AFRICA,SOUTH,ZA,Соуэт*
AFRICA,SOUTH,ZA,Дурба*
AFRICA,SOUTH,ZA,Делмас*
AFRICA,SOUTH,ZA,Бетха*
AFRICA,SOUTH,ZA,Бенон*
AFRICA,SOUTH,ZA,Тембиз*
AFRICA,SOUTH,ZA,Спрингс*
AFRICA,SOUTH,ZA,Найджел*
AFRICA,SOUTH,ZA,Мидранд*
AFRICA,SOUTH,ZA,Бракпа*
AFRICA,SOUTH,ZA,Сихланг*
AFRICA,SOUTH,ZA,Претор*
AFRICA,SOUTH,ZA,Кимберл*
AFRICA,SOUTH,ZA,Кейптаун*
AFRICA,SOUTH,ZA,Врайхайд*
AFRICA,SOUTH,ZA,Боксбург*
AFRICA,SOUTH,ZA,Эйтенхах*
AFRICA,SOUTH,ZA,Полокван*
AFRICA,SOUTH,ZA,Пит-Ретиф*
AFRICA,SOUTH,ZA,Куинстаун*
AFRICA,SOUTH,ZA,Емнамбит*
AFRICA,SOUTH,ZA,Воркестер*
AFRICA,SOUTH,ZA,Вирджин*
AFRICA,SOUTH,ZA,Ботшабел*
AFRICA,SOUTH,ZA,Альбертон*
